expenditure_category,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04
All items,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2,7.7,7.1,6.5,6.4,6,5,4.9,4,3,3.2,3.7,3.7,3.2,3.1,3.4,3.1,3.2,3.5,3.4
"Meats, poultry, fish, and eggs",0.4,0.6,-0.2,-1.1,0.4,0.3,0,-0.6,0.3,1.1,1,2.3,1.9,1.9,2.3,6.8,10,12.8,8.4,7.1,6.3,6.1,5.9,4.6,5.1,5.2,5.4,2,0.1,0.7,5.9,8,10.5,11.9,12.8,12.5,12.2,13,13.7,14.3,14.2,11.7,10.9,10.6,9,8,6.8,7.7,8.1,6.8,4.3,2.8,0.3,-0.2,-0.2,0,0.2,0.4,0.1,-0.1,-0.9,-0.5,1.3,1
Apparel,0.1,-0.8,-2.2,-3,-3.1,-1.3,-0.5,1,-0.3,-2.3,-1.6,-1.2,-1.3,-0.9,-1.6,-5.7,-7.9,-7.3,-6.5,-5.9,-6,-5.5,-5.2,-3.9,-2.5,-3.6,-2.5,1.9,5.6,4.9,4.2,4.2,3.4,4.3,5,5.8,5.3,6.6,6.8,5.4,5,5.2,5.1,5.1,5.5,4.1,3.6,2.9,3.1,3.3,3.3,3.6,3.5,3.1,3.2,3.1,2.3,2.6,1.1,1,0.1,0,0.4,1.3
Shelter,3.2,3.4,3.4,3.4,3.3,3.5,3.5,3.4,3.5,3.3,3.3,3.2,3.3,3.3,3,2.6,2.5,2.4,2.3,2.3,2,2,1.9,1.8,1.6,1.5,1.7,2.1,2.2,2.6,2.8,2.8,3.2,3.5,3.8,4.1,4.4,4.7,5,5.1,5.5,5.6,5.7,6.2,6.6,6.9,7.1,7.5,7.9,8.1,8.2,8.1,8,7.8,7.7,7.3,7.2,6.7,6.5,6.2,6,5.7,5.7,5.5
Airline fares,-2.8,-2.3,-2.9,-1.8,0.9,1.5,1.3,1.6,1.9,1.5,2,1.7,2.7,2.4,-10.6,-24.3,-28.8,-27.2,-23.7,-23.2,-25,-20,-17,-18.4,-21.3,-25.6,-15.1,9.6,24.1,24.6,19,6.7,0.8,-4.6,-3.7,1.4,4.9,12.7,23.6,33.3,37.8,34.1,27.7,33.4,42.9,42.9,36,28.5,25.6,26.5,17.7,-0.9,-13.4,-18.9,-18.6,-13.3,-13.4,-13.2,-12.1,-9.4,-6.4,-6.1,-7.1,-5.8
New and used motor vehicles,0.9,0.5,0.4,0.9,0.4,0.4,0.3,0.4,0.5,0.3,-0.5,-0.7,-1.1,-0.5,-0.4,-1,-0.7,-1.3,-0.2,1.7,3.9,4.7,5.1,4.8,4.1,3.7,4.4,9.6,13.9,20.7,19.9,17.1,15,16.3,18.4,20.9,23.1,23.5,21.7,17.4,13.7,9.7,9.2,9.8,9.9,6.9,3.6,0.7,-0.7,-1.3,-0.1,0.8,1.4,0,-0.5,-1,-1.8,-1.7,0.1,0.2,-1.1,-0.3,-0.8,-2.6
